soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
anonymouskartulispeechrecognition1404075814658-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340, 6, 0, 7.48, 2.42, 0.80, 2.48, 0.403
anonymouskartulispeechrecognition1404075814658-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340, 6, 0, 7.55, 2.42, 0.79, 2.48, 0.403
anonymouskartulispeechrecognition1404080060164-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280, 7, 2, 5.80, 1.64, 1.21, 4.28, 0.234
anonymouskartulispeechrecognition1404080060164-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280, 8, 2, 5.88, 1.67, 1.36, 4.80, 0.208
anonymouskartulispeechrecognition1404157852612-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266, 13, 4, 11.42, 4.57, 1.14, 2.85, 0.351
anonymouskartulispeechrecognition1404157852612-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266, 13, 4, 11.49, 4.61, 1.13, 2.82, 0.355
anonymouskartulispeechrecognition1404570700814-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227, 5, 1, 7.28, 1.57, 0.69, 3.19, 0.314
anonymouskartulispeechrecognition1404570700814-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227, 5, 1, 7.34, 1.62, 0.68, 3.08, 0.324
anonymouskartulispeechrecognition1404570709861-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_32_1404570745630_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_32_1404570745630, 10, 3, 9.88, 1.81, 1.01, 5.52, 0.181
anonymouskartulispeechrecognition1404570709861-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_32_1404570745630_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_32_1404570745630, 9, 3, 9.95, 1.60, 0.90, 5.62, 0.178
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_54_1404627841171_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_54_1404627841171, 45, 6, 24.38, 9.80, 1.85, 4.59, 0.218
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_54_1404627841171_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_54_1404627841171, 45, 6, 24.45, 9.83, 1.84, 4.58, 0.218
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_59_1404628177678_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_59_1404628177678, 4, 2, 11.12, 1.34, 0.36, 2.98, 0.336
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_59_1404628177678_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-06_10_59_1404628177678, 4, 2, 11.18, 1.41, 0.36, 2.83, 0.354
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_01_1405409487448_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_01_1405409487448, 17, 5, 38.46, 4.15, 0.44, 4.10, 0.244
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_01_1405409487448_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_01_1405409487448, 17, 5, 38.53, 4.16, 0.44, 4.09, 0.245
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_02_1405409569462_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_02_1405409569462, 15, 6, 15.16, 3.43, 0.99, 4.38, 0.229
anonymouskartulispeechrecognition1404627539817-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_02_1405409569462_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_12_02_1405409569462, 15, 6, 15.23, 3.48, 0.98, 4.31, 0.232
anonymouskartulispeechrecognition1404679546310-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_00_46_1404679575326_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_00_46_1404679575326, 12, 2, 6.94, 3.20, 1.73, 3.75, 0.267
anonymouskartulispeechrecognition1404679546310-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_00_46_1404679575326_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_00_46_1404679575326, 12, 2, 7.00, 3.20, 1.71, 3.75, 0.267
anonymouskartulispeechrecognition1404731674484-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_15_15_1404731701279_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_15_15_1404731701279, 12, 4, 9.08, 3.26, 1.32, 3.69, 0.271
anonymouskartulispeechrecognition1404731674484-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_15_15_1404731701279_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-07_15_15_1404731701279, 11, 4, 9.14, 3.57, 1.20, 3.08, 0.325
anonymouskartulispeechrecognition1404790285820-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_07_32_1404790333143_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_07_32_1404790333143, 28, 1, 13.82, 6.69, 2.03, 4.19, 0.239
anonymouskartulispeechrecognition1404790285820-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_07_32_1404790333143_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_07_32_1404790333143, 28, 1, 13.90, 6.69, 2.01, 4.19, 0.239
anonymouskartulispeechrecognition1404847048275-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_23_17_1404847078741_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_23_17_1404847078741, 16, 2, 4.28, 3.16, 3.74, 5.06, 0.198
anonymouskartulispeechrecognition1404847048275-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_23_17_1404847078741_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-08_23_17_1404847078741, 18, 1, 4.34, 3.38, 4.15, 5.33, 0.188
anonymouskartulispeechrecognition1404904861655-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-09_11_22_1404904939838_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-09_11_22_1404904939838, 11, 2, 6.14, 2.42, 1.79, 4.55, 0.220
anonymouskartulispeechrecognition1404904861655-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-09_11_22_1404904939838_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-09_11_22_1404904939838, 11, 1, 6.22, 2.27, 1.77, 4.84, 0.207
anonymouskartulispeechrecognition1404980468328-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-10_12_21_1404980497277_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-10_12_21_1404980497277, 2, 1, 5.36, 0.85, 0.37, 2.36, 0.424
anonymouskartulispeechrecognition1404980468328-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-10_12_21_1404980497277_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-10_12_21_1404980497277, 2, 1, 5.43, 0.90, 0.37, 2.22, 0.450
anonymouskartulispeechrecognition1405050227989-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-11_07_46_1405050361226_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-11_07_46_1405050361226, 12, 1, 12.60, 4.36, 0.95, 2.75, 0.363
anonymouskartulispeechrecognition1405050227989-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-11_07_46_1405050361226_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-11_07_46_1405050361226, 11, 1, 12.67, 4.41, 0.87, 2.50, 0.401
anonymouskartulispeechrecognition1405135792896-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-12_07_30_1405135835842_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-12_07_30_1405135835842, 10, 2, 7.10, 2.87, 1.41, 3.48, 0.287
anonymouskartulispeechrecognition1405135792896-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-12_07_30_1405135835842_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-12_07_30_1405135835842, 10, 2, 7.16, 2.91, 1.40, 3.43, 0.291
anonymouskartulispeechrecognition1405189980644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-13_20_42_1405269740922_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-13_20_42_1405269740922, 1, 0, 13.24, 0.43, 0.08, 2.31, 0.432
anonymouskartulispeechrecognition1405189980644-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-13_20_42_1405269740922_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-13_20_42_1405269740922, 1, 0, 13.30, 0.43, 0.08, 2.31, 0.432
anonymouskartulispeechrecognition1405364805617-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-14_23_07_1405364838274_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-14_23_07_1405364838274, 1, 0, 0.76, 0.76, 1.32, 1.32, 0.760
anonymouskartulispeechrecognition1405364805617-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-14_23_07_1405364838274_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-14_23_07_1405364838274, 1, 0, 0.84, 0.84, 1.20, 1.20, 0.836
anonymouskartulispeechrecognition1405414956763-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_13_03_1405415006167_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_13_03_1405415006167, 22, 0, 5.26, 4.76, 4.18, 4.62, 0.216
anonymouskartulispeechrecognition1405414956763-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_13_03_1405415006167_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-15_13_03_1405415006167, 23, 0, 5.33, 4.78, 4.32, 4.81, 0.208
anonymouskartulispeechrecognition1405537600567-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_00_53_1405537733201_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_00_53_1405537733201, 9, 1, 15.60, 2.38, 0.58, 3.78, 0.265
anonymouskartulispeechrecognition1405537600567-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_00_53_1405537733201_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_00_53_1405537733201, 9, 1, 15.67, 2.38, 0.57, 3.78, 0.265
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305, 2, 2, 6.64, 1.90, 0.30, 1.05, 0.952
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_34_1405604076305, 3, 2, 6.71, 1.94, 0.45, 1.55, 0.647
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964, 1, 0, 4.98, 0.75, 0.20, 1.33, 0.754
anonymouskartulispeechrecognition1405604039569-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_17_45_1405604721964, 1, 0, 5.04, 0.77, 0.20, 1.30, 0.769
anonymouskartulispeechrecognition1405629617813-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529, 2, 0, 9.84, 0.59, 0.20, 3.38, 0.296
anonymouskartulispeechrecognition1405629617813-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-17_23_42_1405629728529, 2, 0, 9.90, 0.58, 0.20, 3.47, 0.288
anonymouskartulispeechrecognition1405662073274-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450, 10, 1, 8.94, 2.08, 1.12, 4.81, 0.208
anonymouskartulispeechrecognition1405662073274-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-18_07_41_1405662109450, 11, 1, 9.01, 2.10, 1.22, 5.25, 0.191
anonymouskartulispeechrecognition1405722936547-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932, 9, 2, 6.90, 2.91, 1.30, 3.09, 0.324
anonymouskartulispeechrecognition1405722936547-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_02_36_1405722963932, 8, 2, 6.97, 3.19, 1.15, 2.51, 0.399
anonymouskartulispeechrecognition1405759711246-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555, 13, 2, 14.40, 2.67, 0.90, 4.87, 0.206
anonymouskartulispeechrecognition1405759711246-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-19_12_49_1405759743555, 13, 2, 14.47, 2.72, 0.90, 4.77, 0.210
